id,message_main_attachment_id,default_code,active,product_tmpl_id,barcode,combination_indices,volume,weight,can_image_variant_1024_be_zoomed,create_uid,create_date,write_uid,write_date,l10n_eg_eta_code,product_ref,downpayment_journal_id
427775,,,true,431638,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6224000448790,,
427774,,,true,431637,6224007581933,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6224007581933,,
427773,,,true,431636,32894076694,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894076694,,
427772,,,true,431635,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,8858716041181,,
427771,,,true,431634,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894021694,,
427770,,,true,431633,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894022066,,
427769,,,true,431632,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6222027800423,,
427768,,,true,431631,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894018809,,
427767,,,true,431630,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6222027800133,,
427766,,,true,431629,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6222027800034,,
427765,,,true,431628,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6222027800058,,
427764,,,true,431627,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6222027800119,,
427763,,,true,431626,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894018748,,
427762,,,true,431625,32894022103,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894022103,,
427761,,,true,431624,32894022011,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894022011,,
427760,,,true,431623,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894018601,,
427759,,,true,431622,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894018847,,
427758,,,true,431621,32894018786,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894018786,,
427757,,,true,431620,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894021656,,
427756,,,true,431619,32894022165,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894022165,,
427755,,,true,431618,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894022189,,
