id,campaign_id,source_id,medium_id,message_main_attachment_id,access_token,name,origin,client_order_ref,reference,state,date_order,validity_date,require_signature,require_payment,create_date,user_id,partner_id,partner_invoice_id,partner_shipping_id,pricelist_id,currency_id,analytic_account_id,invoice_status,note,amount_untaxed,amount_tax,amount_total,currency_rate,payment_term_id,fiscal_position_id,company_id,team_id,signed_by,signed_on,commitment_date,show_update_pricelist,create_uid,write_uid,write_date,order_ref,sale_order_template_id,c_move_id,incoterm,picking_policy,warehouse_id,procurement_group_id,effective_date,invoice_status_job,c_reversed_move_id,auto_generated,auto_purchase_order_id,c_reversed_moves_count,opportunity_id,project_id,po_number,move_entry_id,move_entry_refund_id
2441403,,,,,,S2429649,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:57:02.874397,2,3215,3215,3215,4,74,,to invoice,<p>front_margin -841763130571</p>,8.77,1.23,10,1,,,1,1,,,,,2,2,2025-06-23 09:57:02.874397,SupplierBalance-5755204,,16219531,,direct,1,,,to_invoice,,,,0,,,,,
2441402,,,,,,S2429648,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:56:53.355350,2,3109,3109,3109,4,74,,to invoice,<p>penalty -482533499471</p>,10.64,1.49,12.13,1,,,1,1,,,,,2,2,2025-06-23 09:56:53.355350,SupplierBalance-5755202,,16219530,,direct,1,,,to_invoice,,,,0,,,,,
2441401,,,,,,S2429647,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:56:52.058273,2,3109,3109,3109,4,74,,to invoice,<p>penalty -482533499471</p>,40.13,5.62,45.75,1,,,1,1,,,,,2,2,2025-06-23 09:56:52.058273,SupplierBalance-5755201,,16219529,,direct,1,,,to_invoice,,,,0,,,,,
2441400,,,,,,S2429646,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:56:49.740989,2,3109,3109,3109,4,74,,to invoice,<p>order_fees -482533499471</p>,100.32,14.04,114.36,1,,,1,1,,,,,2,2,2025-06-23 09:56:49.740989,SupplierBalance-5755200,,16219527,,direct,1,,,to_invoice,,,,0,,,,,
2441399,,,,,,S2429645,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:56:45.212812,2,179778,179778,179778,4,74,,to invoice,<p>penalty -26013030571</p>,16.25,2.28,18.53,1,,,1,1,,,,,2,2,2025-06-23 09:56:45.212812,SupplierBalance-5755198,,16219526,,direct,1,,,to_invoice,,,,0,,,,,
2441398,,,,,,S2429644,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:56:44.057465,2,179778,179778,179778,4,74,,to invoice,<p>penalty -26013030571</p>,1.2,0.17,1.37,1,,,1,1,,,,,2,2,2025-06-23 09:56:44.057465,SupplierBalance-5755199,,16219525,,direct,1,,,to_invoice,,,,0,,,,,
2441397,,,,,,S2429643,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:56:42.904906,2,179778,179778,179778,4,74,,to invoice,<p>order_fees -26013030571</p>,48.74,6.82,55.56,1,,,1,1,,,,,2,2,2025-06-23 09:56:42.904906,SupplierBalance-5755197,,16219524,,direct,1,,,to_invoice,,,,0,,,,,
2441396,,,,,,S2429642,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:56:06.714471,2,5306,5306,5306,4,74,,to invoice,<p>order_fees -931662150571</p>,88.36,12.37,100.73,1,,,1,1,,,,,2,2,2025-06-23 09:56:06.714471,SupplierBalance-5755196,,16219519,,direct,1,,,to_invoice,,,,0,,,,,
2441395,,,,,,S2429641,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:55:54.542876,2,3215,3215,3215,4,74,,to invoice,<p>order_fees -953777350571-Installment</p>,28.41,3.98,32.39,1,,,1,1,,,,,2,2,2025-06-23 09:55:54.542876,SupplierBalance-5755191,,16219513,,direct,1,,,to_invoice,,,,0,,,,,
2441394,,,,,,S2429640,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:55:49.281929,2,3215,3215,3215,4,74,,to invoice,<p>front_margin -953777350571-Installment</p>,7.89,1.1,8.99,1,,,1,1,,,,,2,2,2025-06-23 09:55:49.281929,SupplierBalance-5755187,,16219507,,direct,1,,,to_invoice,,,,0,,,,,
